Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
41100,2.72756,2.20345,2.22873,2.24873
41200,2.72225,2.20186,2.21445,2.25151
41300,2.72641,2.20226,2.22555,2.25025
41400,2.73519,2.2191,2.22037,2.26012
41500,2.7267,2.2084,2.21621,2.25414
41600,2.72546,2.21139,2.22069,2.24377
41700,2.72952,2.21475,2.21339,2.25753
41800,2.73473,2.22078,2.21467,2.26294
41900,2.73374,2.21691,2.21626,2.26278
42000,2.72652,2.20213,2.21124,2.26469
42100,2.73225,2.21748,2.21578,2.2591
42200,2.72185,2.19638,2.22389,2.24658
42300,2.72434,2.21335,2.21629,2.24347
42400,2.73143,2.21489,2.21726,2.25819
42500,2.73365,2.21774,2.21961,2.25846
42600,2.71409,2.19184,2.20777,2.24815
42700,2.72212,2.20409,2.21036,2.25303
42800,2.72218,2.19573,2.21165,2.26007
42900,2.72908,2.2088,2.22446,2.25139
43000,2.72291,2.19878,2.21664,2.25396
43100,2.72385,2.20349,2.21389,2.25432
43200,2.7341,2.21136,2.22278,2.26268
43300,2.72945,2.20541,2.21723,2.26272
43400,2.72458,2.20481,2.20867,2.25991
43500,2.72787,2.19543,2.22332,2.26264
43600,2.72103,2.19003,2.22437,2.25032
43700,2.71548,2.19175,2.21095,2.24848
43800,2.72564,2.20048,2.21117,2.26426
43900,2.72486,2.20199,2.21856,2.25366
44000,2.72137,2.19158,2.2236,2.25041
44100,2.72348,2.18882,2.22159,2.26015
44200,2.73024,2.18889,2.23348,2.26466
44300,2.72465,2.19587,2.22221,2.25551
44400,2.72677,2.19827,2.2186,2.26185
44500,2.70364,2.18249,2.20172,2.23798
44600,2.71772,2.19053,2.2133,2.25274
44700,2.71614,2.18746,2.21062,2.25455
44800,2.71028,2.18226,2.20288,2.25308
44900,2.70744,2.1791,2.20169,2.25045
45000,2.70602,2.1801,2.20549,2.24233
45100,2.72188,2.18644,2.2192,2.26095
45200,2.72599,2.19576,2.22009,2.26095
45300,2.72129,2.19941,2.2129,2.2531
45400,2.72473,2.20329,2.2107,2.25978
45500,2.71917,2.19458,2.20601,2.25945
45600,2.71021,2.1765,2.20893,2.25253
45700,2.71485,2.18287,2.21558,2.25102
45800,2.72162,2.19651,2.21997,2.24978
45900,2.73247,2.20923,2.22051,2.26305
46000,2.71371,2.19671,2.2047,2.24549
46100,2.71957,2.19114,2.21739,2.25261
46200,2.7435,2.21217,2.23059,2.27691
46300,2.72438,2.20104,2.20954,2.26226
46400,2.72487,2.20282,2.20428,2.26684
46500,2.73458,2.21288,2.22018,2.2649
46600,2.72376,2.20366,2.21565,2.25222
46700,2.72877,2.20323,2.21779,2.26264
46800,2.72671,2.19673,2.21414,2.26757
46900,2.72904,2.20445,2.22324,2.25676
47000,2.71808,2.19719,2.21302,2.2474
47100,2.71719,2.19589,2.21855,2.24106
47200,2.71803,2.1929,2.21648,2.24806
47300,2.72108,2.18961,2.22101,2.25417
47400,2.71648,2.19009,2.20888,2.25453
47500,2.73293,2.19739,2.22161,2.27459
47600,2.73821,2.20479,2.22372,2.27806
47700,2.72089,2.17971,2.21885,2.26541
47800,2.73334,2.20247,2.22651,2.26585
47900,2.74047,2.20466,2.23595,2.27165
48000,2.75675,2.20766,2.24463,2.29941
48100,2.74591,2.2029,2.23619,2.28621
48200,2.72659,2.19665,2.23209,2.24969
48300,2.72583,2.19277,2.22869,2.25499
48400,2.73446,2.20093,2.23012,2.2665
48500,2.746,2.21201,2.23664,2.27716
48600,2.73284,2.20029,2.23213,2.26121
48700,2.73763,2.20733,2.24058,2.25759
48800,2.73575,2.20757,2.23598,2.25737
48900,2.73664,2.20131,2.24039,2.26125
49000,2.73659,2.21012,2.22881,2.26399
49100,2.74311,2.2128,2.24276,2.26338
49200,2.74395,2.21153,2.23272,2.27653
49300,2.7409,2.20325,2.24753,2.2626
49400,2.74049,2.20369,2.24293,2.26574
49500,2.74068,2.20833,2.2431,2.26152
49600,2.74727,2.21189,2.24393,2.27316
49700,2.74758,2.21319,2.24515,2.27144
49800,2.73142,2.2044,2.22998,2.25592
49900,2.73443,2.21442,2.22534,2.25796
50000,2.73072,2.19866,2.23388,2.25596
50100,2.72602,2.19734,2.23862,2.24112
50200,2.73673,2.21924,2.2342,2.25005
50300,2.72313,2.1975,2.23401,2.23854
50400,2.72851,2.21053,2.22826,2.24453
50500,2.71935,2.19711,2.22369,2.24001
50600,2.72474,2.1998,2.23011,2.24407
50700,2.72523,2.19361,2.23486,2.24661
50800,2.72621,2.19511,2.23634,2.24606
50900,2.72068,2.18997,2.23354,2.24044
51000,2.73427,2.20338,2.23885,2.25501
51100,2.73035,2.20099,2.23175,2.25491
51200,2.73646,2.20744,2.23863,2.25659
51300,2.73551,2.20093,2.24228,2.25702
51400,2.73873,2.19886,2.24488,2.26425
51500,2.72777,2.19227,2.23237,2.25653
51600,2.72167,2.18529,2.23159,2.24933
51700,2.7371,2.21118,2.22872,2.26427
51800,2.73549,2.20122,2.24146,2.25748
51900,2.7405,2.20885,2.24781,2.25589
52000,2.73173,2.20161,2.23439,2.25501
52100,2.73966,2.1985,2.24373,2.26799
52200,2.73104,2.19052,2.22911,2.26933
52300,2.72927,2.18255,2.23818,2.2638
52400,2.73093,2.19243,2.23973,2.25674
52500,2.73444,2.19581,2.24291,2.25878
52600,2.73779,2.19298,2.25036,2.26223
52700,2.73137,2.19869,2.23421,2.25718
52800,2.73233,2.20364,2.22263,2.26609
52900,2.72919,2.19373,2.22597,2.26484
53000,2.73407,2.20112,2.2294,2.26608
53100,2.7267,2.20296,2.22144,2.2543
53200,2.72974,2.19787,2.23315,2.25508
53300,2.72459,2.1954,2.2243,2.25377
53400,2.73421,2.19598,2.23357,2.26729
53500,2.72228,2.18556,2.23202,2.25013
53600,2.72222,2.17921,2.23129,2.25686
53700,2.73762,2.20301,2.24169,2.26069
53800,2.72694,2.19082,2.23531,2.25301
53900,2.73026,2.20173,2.23062,2.25506
54000,2.7271,2.18945,2.21995,2.26985
54100,2.73915,2.19996,2.23479,2.27417
54200,2.73497,2.1962,2.23821,2.26434
54300,2.73308,2.19417,2.23721,2.26272
54400,2.74759,2.21352,2.24012,2.27612
54500,2.73001,2.20759,2.22038,2.25884
54600,2.73108,2.19598,2.22811,2.26512
54700,2.73247,2.19531,2.2354,2.26196
54800,2.73731,2.19859,2.2428,2.26314
54900,2.7214,2.18518,2.22742,2.25291
55000,2.73425,2.19245,2.22676,2.2775
55100,2.74613,2.19976,2.24294,2.28314
55200,2.72125,2.17735,2.2286,2.25896
