Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
23300,1.39782,1.17444,1.05001,1.19413
23400,1.38825,1.16025,1.04834,1.18713
23500,1.39489,1.17045,1.04529,1.19534
23600,1.39598,1.16851,1.05014,1.19555
23700,1.39355,1.16381,1.05359,1.19142
23800,1.39414,1.16332,1.04415,1.20153
23900,1.39873,1.17056,1.06162,1.18983
24000,1.39044,1.16846,1.04413,1.18791
24100,1.39445,1.16711,1.05235,1.19138
24200,1.38799,1.16582,1.03848,1.18972
24300,1.38235,1.15961,1.0344,1.18623
24400,1.39161,1.165,1.04826,1.1904
24500,1.38271,1.15626,1.0499,1.17666
24600,1.3889,1.16812,1.03721,1.1907
24700,1.38406,1.16166,1.04656,1.17751
24800,1.38033,1.15706,1.03547,1.18305
24900,1.38166,1.15832,1.04177,1.17939
25000,1.38598,1.16048,1.04203,1.18717
25100,1.39878,1.17799,1.04999,1.1929
25200,1.40388,1.18489,1.05292,1.19545
25300,1.39001,1.17029,1.04872,1.18104
25400,1.39568,1.17609,1.04163,1.19485
25500,1.38601,1.16809,1.03646,1.18464
25600,1.39019,1.16991,1.04859,1.18195
25700,1.38317,1.15725,1.03865,1.18672
25800,1.38736,1.16343,1.04037,1.18895
25900,1.38932,1.16722,1.04205,1.18836
26000,1.3902,1.16954,1.04483,1.18567
26100,1.40306,1.17856,1.05268,1.2
26200,1.39888,1.17637,1.04824,1.19628
26300,1.39632,1.17409,1.0477,1.19299
26400,1.39665,1.17425,1.05358,1.18843
26500,1.40091,1.18318,1.04938,1.1933
26600,1.39271,1.17124,1.04205,1.19231
26700,1.39841,1.17531,1.05294,1.1921
26800,1.38425,1.15325,1.04242,1.18982
26900,1.39052,1.16851,1.05068,1.18226
27000,1.38878,1.16842,1.03685,1.19045
27100,1.38522,1.15775,1.04637,1.18422
27200,1.38776,1.16177,1.04508,1.18738
27300,1.39356,1.17045,1.04363,1.19368
27400,1.38444,1.16612,1.03038,1.18819
27500,1.39444,1.1779,1.04207,1.18978
27600,1.38611,1.15793,1.04354,1.18862
27700,1.3856,1.16219,1.03796,1.18816
27800,1.39403,1.16989,1.04997,1.18978
27900,1.38097,1.15558,1.04017,1.18188
28000,1.38114,1.15544,1.03708,1.18512
28100,1.39759,1.17387,1.04758,1.19631
28200,1.39554,1.17087,1.04771,1.19434
28300,1.40002,1.1804,1.05189,1.19177
28400,1.38877,1.16081,1.04662,1.18932
28500,1.39309,1.16737,1.04727,1.19241
28600,1.39723,1.17262,1.04493,1.19899
28700,1.40595,1.18632,1.05558,1.19656
28800,1.39381,1.17399,1.04516,1.18945
28900,1.38734,1.164,1.04187,1.18703
29000,1.40387,1.18488,1.05597,1.19277
29100,1.40159,1.18479,1.05636,1.18712
29200,1.38796,1.16582,1.04736,1.18184
29300,1.40039,1.1731,1.05794,1.19449
29400,1.41017,1.19413,1.0631,1.19207
29500,1.38927,1.16866,1.04588,1.18344
29600,1.39263,1.16423,1.04474,1.19664
29700,1.40332,1.17569,1.05228,1.20377
29800,1.41846,1.20198,1.04763,1.21728
29900,1.39259,1.17165,1.03764,1.19547
30000,1.39794,1.17469,1.05121,1.19311
30100,1.39024,1.16338,1.04834,1.18873
30200,1.38929,1.16697,1.046,1.18504
30300,1.38394,1.16344,1.03361,1.18685
30400,1.39238,1.16976,1.0389,1.19573
30500,1.37858,1.15538,1.03536,1.18071
30600,1.38132,1.16082,1.02971,1.18672
30700,1.37815,1.15421,1.03876,1.17787
30800,1.37887,1.15386,1.0358,1.1825
30900,1.37483,1.14956,1.03643,1.17672
31000,1.37575,1.14954,1.04304,1.17302
31100,1.39809,1.17918,1.0406,1.19833
31200,1.38847,1.16204,1.03884,1.19421
31300,1.38277,1.15682,1.03618,1.18836
31400,1.38486,1.15619,1.04332,1.18758
31500,1.39257,1.16657,1.04437,1.19452
31600,1.39014,1.16589,1.03962,1.19368
31700,1.37168,1.1456,1.04206,1.1682
31800,1.37907,1.15121,1.04894,1.17392
31900,1.38132,1.15598,1.04337,1.17949
32000,1.38073,1.15462,1.03409,1.18757
32100,1.38084,1.15937,1.03366,1.18356
32200,1.39902,1.17293,1.05222,1.19649
32300,1.38781,1.16576,1.03921,1.18873
32400,1.39376,1.16912,1.04961,1.19022
32500,1.38923,1.1622,1.04798,1.18785
32600,1.39017,1.1693,1.04383,1.18671
32700,1.40009,1.17868,1.05366,1.19208
32800,1.38509,1.16131,1.04416,1.18238
32900,1.38635,1.16233,1.04916,1.17991
33000,1.39065,1.16142,1.04865,1.19133
33100,1.38207,1.15526,1.04368,1.18168
33200,1.38714,1.167,1.04747,1.17867
33300,1.38379,1.15976,1.04648,1.17881
33400,1.39574,1.16511,1.05217,1.19651
33500,1.39004,1.16027,1.04217,1.19668
33600,1.38853,1.16758,1.04046,1.18755
33700,1.38016,1.15705,1.04244,1.17655
33800,1.37684,1.1555,1.0353,1.17658
33900,1.37866,1.15173,1.03846,1.18173
34000,1.38479,1.16447,1.03205,1.1892
34100,1.39352,1.16895,1.034,1.20341
34200,1.38389,1.15923,1.03303,1.19136
34300,1.38036,1.15434,1.03786,1.18369
34400,1.39126,1.16702,1.03864,1.19603
34500,1.38196,1.15551,1.03581,1.18807
34600,1.3844,1.15783,1.03627,1.1911
34700,1.38195,1.16157,1.03843,1.17983
34800,1.38342,1.16062,1.0317,1.19006
34900,1.37985,1.15886,1.02776,1.18689
35000,1.39113,1.16626,1.04731,1.1889
35100,1.40123,1.18063,1.05001,1.19603
35200,1.38086,1.15892,1.03869,1.17966
35300,1.38947,1.16195,1.04004,1.19559
35400,1.39953,1.17332,1.04084,1.20722
35500,1.38806,1.15837,1.04192,1.19416
35600,1.38947,1.16636,1.03988,1.19143
35700,1.38088,1.15407,1.03518,1.18751
35800,1.39512,1.16409,1.0527,1.1956
35900,1.39364,1.1657,1.04787,1.1948
36000,1.38004,1.15374,1.04007,1.18159
36100,1.38739,1.16777,1.03326,1.19096
36200,1.38605,1.16271,1.03812,1.18857
36300,1.39475,1.17054,1.04347,1.19652
36400,1.38702,1.1618,1.04832,1.18273
36500,1.38842,1.15998,1.04408,1.19153
36600,1.39497,1.17212,1.04924,1.19041
36700,1.39246,1.16832,1.03789,1.19821
36800,1.38858,1.16577,1.04226,1.18785
36900,1.39733,1.1779,1.0441,1.19476
37000,1.39172,1.16444,1.04934,1.19026
